Date,Username,Message,IP Address,Log Level
2013-10-23 15:55:44,GPAC,GPAC startup,localhost,notice
2013-10-23 16:08:46,GPAC,GPAC shutdown,localhost,notice
2013-10-23 16:09:14,GPAC,GPAC startup,localhost,notice
2013-10-23 16:09:38,sahid,GPAC System successfully authenticated,192.168.1.11,notice
2013-10-23 16:09:40,sahid,Accessed Overview,192.168.1.11,info
2013-10-23 16:09:53,sahid,Accessed Registration,192.168.1.11,info
2013-10-23 16:09:59,sahid,Accessed Device Matrix,192.168.1.11,info
2013-10-23 16:10:00,sahid,Accessed Camera Matrix,192.168.1.11,info
2013-10-23 16:10:11,sahid,Accessed System Information,192.168.1.11,info
2013-10-23 16:10:30,sahid,Accessed Device Matrix,192.168.1.11,info
2013-10-23 16:10:33,sahid,Accessed Camera Matrix,192.168.1.11,info
2013-10-23 16:10:34,sahid,Accessed Overview,192.168.1.11,info
2013-10-23 16:10:49,sahid,Accessed View Logs,192.168.1.11,info
2013-10-23 16:12:11,sahid,Accessed Network Configuration,192.168.1.11,info
2013-10-23 16:12:19,sahid,Accessed System Configuration,192.168.1.11,info
2013-10-23 16:13:19,sahid,System Configuration updated successfully,192.168.1.11,notice
2013-10-23 16:13:52,sahid,System Configuration updated successfully,192.168.1.11,notice
2013-10-23 16:14:04,sahid,Accessed Save Changes,192.168.1.11,info
2013-10-23 16:14:06,sahid,Saved GPAC configuration successfully,192.168.1.11,info
2013-10-23 16:14:07,sahid,Accessed System Configuration,192.168.1.11,info
2013-10-23 16:14:18,sahid,Accessed Device Matrix,192.168.1.11,info
2013-10-23 16:14:20,sahid,Accessed Overview,192.168.1.11,info
2013-10-23 16:16:55,sahid,Accessed View Logs,192.168.1.11,info
2013-10-23 16:18:35,sahid,Accessed System Information,192.168.1.11,info
2013-10-23 16:19:10,sahid,Logged out: Session expired,192.168.1.11,notice
2013-10-24 08:56:37,,Anonymous,Logged,notice
2013-10-24 11:58:11,,Anonymous,Logged,notice
2013-10-28 07:20:01,sahid,GPAC System successfully authenticated,192.168.1.11,notice
2013-10-28 07:20:02,sahid,Accessed Overview,192.168.1.11,info
2013-10-28 07:20:23,sahid,Accessed Shutdown,192.168.1.11,info
2013-10-28 07:20:29,sahid,Saved GPAC configuration successfully,192.168.1.11,info
2013-10-28 07:20:33,sahid,Shutdown GPAC successfully,192.168.1.11,info
2013-10-28 07:20:33,GPAC,GPAC shutdown,localhost,notice
2014-01-24 09:37:37,GPAC,GPAC startup,localhost,notice
2014-01-24 09:38:15,GPAC,GPAC shutdown,localhost,notice
2014-01-24 09:45:15,GPAC,GPAC startup,localhost,notice
2014-01-24 09:45:26,GPAC,GPAC shutdown,localhost,notice
2014-02-07 13:13:14,GPAC,GPAC startup,localhost,notice
2014-02-07 13:13:52,sahid,GPAC System successfully authenticated,127.0.0.1,notice
2014-02-07 13:13:53,sahid,Accessed Overview,127.0.0.1,info
2014-02-07 13:14:06,sahid,Accessed System Configuration,127.0.0.1,info
2014-02-07 13:14:30,sahid,System Configuration updated successfully,127.0.0.1,notice
2014-02-07 13:14:38,sahid,Accessed Network Configuration,127.0.0.1,info
2014-02-07 13:16:54,sahid,Accessed Save Changes,127.0.0.1,info
2014-02-07 13:16:57,sahid,Saved GPAC configuration successfully,127.0.0.1,info
2014-02-07 13:16:59,sahid,Accessed Network Configuration,127.0.0.1,info
2014-02-07 13:53:19,sahid,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-07 13:53:20,sahid,Accessed Overview,192.168.1.148,info
2014-02-07 13:53:33,sahid,Accessed User Manager,192.168.1.148,info
2014-02-07 13:54:23,sahid,Added user Jeff successfully,192.168.1.148,notice
2014-02-07 13:54:34,sahid,Accessed Save Changes,192.168.1.148,info
2014-02-07 13:54:36,sahid,Saved GPAC configuration successfully,192.168.1.148,info
2014-02-07 13:54:37,sahid,Accessed User Manager,192.168.1.148,info
2014-02-07 13:54:43,sahid,Logged out,192.168.1.148,notice
2014-02-07 13:54:51,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-07 13:54:53,Jeff,Accessed Overview,192.168.1.148,info
2014-02-07 13:55:11,Jeff,Accessed Overview,192.168.1.148,info
2014-02-07 14:06:18,sahid,GPAC System successfully authenticated,192.168.1.144,notice
2014-02-07 14:06:20,sahid,Accessed Overview,192.168.1.144,info
2014-02-07 14:06:29,sahid,Accessed Discover Cameras,192.168.1.144,info
2014-02-07 14:06:45,sahid,Accessed Discover Modules,192.168.1.144,info
2014-02-07 14:12:05,sahid,Accessed Device Matrix,192.168.1.144,info
2014-02-14 11:47:00,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-14 11:47:02,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 11:47:16,Jeff,Accessed Environments,192.168.1.148,info
2014-02-14 11:47:47,Jeff,Added environment Conference Room successfully,192.168.1.148,notice
2014-02-14 11:47:51,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 11:47:53,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 11:47:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 11:47:59,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 11:48:08,Jeff,Accessed Discover Modules,192.168.1.148,info
2014-02-14 11:48:38,Jeff,Added module 6060 successfully,192.168.1.148,notice
2014-02-14 11:48:50,Jeff,Added module 6017 successfully,192.168.1.148,notice
2014-02-14 11:49:22,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 11:51:01,Jeff,Accessed User Manager,192.168.1.148,info
2014-02-14 11:51:54,Jeff,Added user alex successfully,192.168.1.148,notice
2014-02-14 11:51:59,Jeff,Accessed Save Changes,192.168.1.148,info
2014-02-14 11:52:01,Jeff,Saved GPAC configuration successfully,192.168.1.148,info
2014-02-14 11:52:02,Jeff,Accessed User Manager,192.168.1.148,info
2014-02-14 12:04:20,Jeff,Accessed Discover Cameras,192.168.1.148,info
2014-02-14 12:06:49,Jeff,Added camera DroidCam successfully,192.168.1.148,notice
2014-02-14 12:06:53,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 12:09:35,jeff,GPAC System failed to authenticate. Login attempt: 1,192.168.1.149,alert
2014-02-14 12:09:45,jeff,GPAC System failed to authenticate. Login attempt: 1,192.168.1.149,alert
2014-02-14 12:09:57,alex,GPAC System successfully authenticated,192.168.1.149,notice
2014-02-14 12:09:58,alex,Accessed Overview,192.168.1.149,info
2014-02-14 12:10:08,alex,Accessed Device Matrix,192.168.1.149,info
2014-02-14 12:10:10,alex,Accessed Device Table,192.168.1.149,info
2014-02-14 12:10:15,alex,Accessed Camera Matrix,192.168.1.149,info
2014-02-14 12:10:19,alex,Accessed Camera Matrix,192.168.1.149,info
2014-02-14 12:11:20,Jeff,Accessed Discover Modules,192.168.1.148,info
2014-02-14 12:11:24,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 12:11:29,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:41:01,Jeff,Added device DoorSensor successfully,192.168.1.148,notice
2014-02-14 12:41:10,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:41:13,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:41:50,Jeff,Updated device DoorSensor successfully,192.168.1.148,notice
2014-02-14 12:41:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:42:04,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:42:53,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:43:05,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 12:43:11,Jeff,Accessed Triggers,192.168.1.148,info
2014-02-14 12:43:20,Jeff,Added trigger = 0 successfully,192.168.1.148,notice
2014-02-14 12:43:31,Jeff,Added trigger = 1 successfully,192.168.1.148,notice
2014-02-14 12:43:50,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 12:44:06,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:49:50,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:50:24,Jeff,Added device Buzzer successfully,192.168.1.148,notice
2014-02-14 12:50:34,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:50:38,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:51:26,Jeff,Accessed Device Configuration,192.168.1.148,info
2014-02-14 12:51:40,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:51:45,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:52:51,Jeff,Updated device Buzzer successfully,192.168.1.148,notice
2014-02-14 12:52:54,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:54:29,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 12:54:48,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:56:05,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 12:56:08,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 12:57:48,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:11:28,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:11:36,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:12:33,Jeff,Accessed Trigger Actions,192.168.1.148,info
2014-02-14 13:12:36,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:12:40,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:15:27,Jeff,Accessed System Information,192.168.1.148,info
2014-02-14 13:15:35,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:16:10,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 13:21:38,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:21:40,Jeff,Accessed Camera Matrix,192.168.1.148,info
2014-02-14 13:21:50,Jeff,Accessed Device Matrix,192.168.1.148,info
2014-02-14 13:24:11,Jeff,Accessed Device Table,192.168.1.148,info
2014-02-14 14:08:02,mso,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:15,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:17,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:08:58,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:09:28,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:09:39,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:12:05,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:16:03,cusadmin,GPAC System failed to authenticate. Login attempt: 1,198.178.8.81,alert
2014-02-14 14:38:37,Jeff,GPAC System successfully authenticated,66.87.113.148,notice
2014-02-14 14:38:56,Jeff,Accessed Overview,66.87.113.148,info
2014-02-14 14:39:34,Jeff,Accessed Overview,66.87.113.148,info
2014-02-14 14:39:49,Jeff,Accessed Camera Matrix,66.87.113.148,info
2014-02-14 14:39:59,Jeff,Accessed Device Matrix,66.87.113.148,info
2014-02-14 15:15:54,Alex,GPAC System failed to authenticate. Login attempt: 1,66.87.118.10,alert
2014-02-14 15:16:28,alex,GPAC System successfully authenticated,66.87.118.10,notice
2014-02-14 15:16:33,alex,Accessed Overview,66.87.118.10,info
2014-02-14 15:16:43,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:16:48,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:16:52,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:17:02,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:17:14,alex,Accessed Device Matrix,66.87.118.10,info
2014-02-14 15:17:21,alex,Accessed Device Table,66.87.118.10,info
2014-02-14 15:21:49,alex,Accessed Camera Matrix,66.87.118.10,info
2014-02-14 15:25:18,,Anonymous,Logged,notice
2014-02-14 15:25:28,Jeff,GPAC System successfully authenticated,192.168.1.148,notice
2014-02-14 15:25:29,Jeff,Accessed Overview,192.168.1.148,info
2014-02-14 15:25:33,Jeff,Accessed Device Matrix,192.168.1.148,info
