Date,Action,Environment,Log Level
2013-10-23 15:55:45,GPAC Schedule cleared all trigger actions.,,info
2013-10-23 15:55:46,GPAC Schedule cleared all trigger actions.,,info
2013-10-23 16:09:16,GPAC Schedule cleared all trigger actions.,,info
2013-10-23 16:09:17,GPAC Schedule cleared all trigger actions.,,info
2013-10-23 17:55:57,GPAC Schedule cleared all trigger actions.,,info
2013-10-23 17:55:57,GPAC Schedule cleared all trigger actions.,,info
2014-01-24 09:37:39,GPAC Schedule cleared all trigger actions.,,info
2014-01-24 09:37:40,GPAC Schedule cleared all trigger actions.,,info
2014-01-24 09:45:18,GPAC Schedule cleared all trigger actions.,,info
2014-01-24 09:45:18,GPAC Schedule cleared all trigger actions.,,info
2014-02-07 13:13:16,GPAC Schedule cleared all trigger actions.,,info
2014-02-07 13:13:16,GPAC Schedule cleared all trigger actions.,,info
2014-02-20 15:28:36,GPAC Schedule enabled trigger action for DoorSensor = 0,Conference Room,info
2014-02-20 15:28:36,GPAC Schedule enabled trigger action for DoorSensor = 0,Conference Room,info
2014-04-06 11:15:16,GPAC Schedule enabled trigger action for CO Sensor > 10,Hallway,info
2014-04-06 11:15:16,GPAC Schedule enabled trigger action for CO Sensor > 10,Hallway,info
2014-04-06 11:17:01,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:17:01,Streaming from cam1,Conference Room,info
2014-04-06 11:17:12,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:17:12,Streaming from cam1,Conference Room,info
2014-04-06 11:17:25,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:17:25,Streaming from cam1,Conference Room,info
2014-04-06 11:17:39,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:17:39,Streaming from cam1,Conference Room,info
2014-04-06 11:17:43,GPAC Schedule enabled trigger action for CO Sensor > 10,Hallway,info
2014-04-06 11:17:43,GPAC Schedule enabled trigger action for CO Sensor > 10,Hallway,info
2014-04-06 11:17:53,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:17:53,Streaming from cam1,Conference Room,info
2014-04-06 11:17:56,GPAC Schedule disabled trigger action for CO Sensor = 0,Hallway,info
2014-04-06 11:27:55,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:27:55,Streaming from cam1,Conference Room,info
2014-04-06 11:28:04,CO Sensor triggered cam1,Conference Room,info
2014-04-06 11:28:04,Streaming from cam1,Conference Room,info
2014-04-07 10:59:33,CO Sensor triggered cam1,Conference Room,info
2014-04-07 10:59:33,Streaming from cam1,Conference Room,info
2014-04-07 10:59:43,CO Sensor triggered cam1,Conference Room,info
2014-04-07 10:59:43,Streaming from cam1,Conference Room,info
2014-04-23 16:34:20,CO Sensor triggered cam1,Conference Room,info
2014-04-23 16:34:20,Streaming from cam1,Conference Room,info
2014-04-23 17:43:35,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:43:35,Streaming from cam1,Conference Room,info
2014-04-23 17:43:46,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:43:46,Streaming from cam1,Conference Room,info
2014-04-23 17:47:17,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:47:17,Streaming from cam1,Conference Room,info
2014-04-23 17:47:47,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:47:47,Streaming from cam1,Conference Room,info
2014-04-23 17:47:58,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:47:58,Streaming from cam1,Conference Room,info
2014-04-23 17:48:11,CO2 Sensor triggered cam1,Conference Room,info
2014-04-23 17:48:11,Streaming from cam1,Conference Room,info
2014-04-23 17:48:24,CO2 Sensor triggered cam1,Conference Room,info
