year,month,day,service,operation,hour,status,sum,amount,min,max,sumsqr
2015,1,1,AccountService,GetAccountDetail,0,success,129.404,25,3.199,6.934,699.324632
2015,1,1,AccountService,GetAccountDetail,1,success,119.66600000000001,25,3.269,6.601,599.924038
2015,1,1,AccountService,GetAccountDetail,2,success,220.92499999999998,42,3.157,6.977,1214.870093
2015,1,1,AccountService,GetAccountDetail,3,success,192.997,37,3.227,6.955,1051.344843
2015,1,1,AccountService,GetAccountDetail,4,success,178.329,34,3.276,6.958,979.299143
2015,1,1,AccountService,GetAccountDetail,5,success,217.67,39,3.195,6.889,1261.343848
2015,1,1,AccountService,GetAccountDetail,6,success,242.951,51,3.102,6.974,1215.331547
2015,1,1,AccountService,GetAccountDetail,7,success,340.516,67,3.149,6.921,1821.878578
2015,1,1,AccountService,GetAccountDetail,8,success,305.451,59,3.1,6.974,1661.369203
2015,1,1,AccountService,GetAccountDetail,9,success,283.943,54,3.117,6.988,1566.660869
2015,1,1,AccountService,GetAccountDetail,10,success,311.17100000000005,59,3.151,6.852,1709.794143
2015,1,1,AccountService,GetAccountDetail,11,success,304.32500000000005,60,3.136,6.998,1614.2085989999998
2015,1,1,AccountService,GetAccountDetail,12,failure,1344.3650000000002,113,5.398,18.275,17323.916622999997
2015,1,1,AccountService,GetAccountDetail,12,success,1064.884,87,6.126,18.381,14093.055636000001
2015,1,1,AccountService,GetAccountDetail,13,success,1699.134,212,3.967,11.99,14548.314294000003
2015,1,1,AccountService,GetAccountDetail,14,success,1540.1889999999999,200,3.907,11.95,12896.172319
2015,1,1,AccountService,GetAccountDetail,15,success,1455.846,183,3.903,11.89,12527.639682
2015,1,1,AccountService,GetAccountDetail,16,success,1719.9209999999998,223,3.927,11.99,14383.302641
2015,1,1,AccountService,GetAccountDetail,17,success,1415.9700000000003,189,3.911,11.66,11508.691592
2015,1,1,AccountService,GetAccountDetail,18,success,181.61,36,3.195,6.825,963.2404500000001
2015,1,1,AccountService,GetAccountDetail,19,success,163.13899999999998,30,3.4,6.828,930.5776450000001
2015,1,1,AccountService,GetAccountDetail,20,success,95.41000000000001,19,3.159,6.682,503.01156
2015,1,1,AccountService,GetAccountDetail,21,success,139.40200000000002,30,3.132,6.75,682.158096
2015,1,1,AccountService,GetAccountDetail,22,success,156.092,32,3.185,6.974,800.1395959999999
2015,1,1,AccountService,GetAccountDetail,23,success,187.62300000000002,39,3.114,6.903,950.2721329999999
2015,1,1,AccountService,GetAccounts,0,success,51.86,10,3.415,6.605,277.687684
2015,1,1,AccountService,GetAccounts,1,success,118.99200000000002,22,3.409,6.82,667.7251500000001
2015,1,1,AccountService,GetAccounts,2,success,103.037,20,3.121,6.972,564.7891729999999
2015,1,1,AccountService,GetAccounts,3,success,121.29700000000001,23,3.512,6.94,661.954545
2015,1,1,AccountService,GetAccounts,4,success,112.12400000000001,23,3.141,6.915,579.842938
2015,1,1,AccountService,GetAccounts,5,success,83.623,17,3.149,6.264,428.66555300000005
2015,1,1,AccountService,GetAccounts,6,success,221.338,43,3.163,6.95,1182.734106
2015,1,1,AccountService,GetAccounts,7,success,210.22500000000005,43,3.102,6.99,1070.069417
2015,1,1,AccountService,GetAccounts,8,success,206.45200000000003,40,3.123,6.98,1128.1721659999998
2015,1,1,AccountService,GetAccounts,9,success,158.688,32,3.106,6.987,842.7275500000001
2015,1,1,AccountService,GetAccounts,10,success,184.86799999999997,38,3.114,6.977,954.3081659999998
2015,1,1,AccountService,GetAccounts,11,success,162.636,32,3.1,6.924,866.5719300000001
2015,1,1,AccountService,GetAccounts,12,failure,722.3489999999999,60,5.403,18.478,9558.102183
2015,1,1,AccountService,GetAccounts,12,success,358.602,31,5.597,18.338,4601.305064
2015,1,1,AccountService,GetAccounts,13,success,789.1519999999999,100,3.925,11.6,6668.976796000001
2015,1,1,AccountService,GetAccounts,14,success,932.529,119,3.983,11.48,7849.244185
2015,1,1,AccountService,GetAccounts,15,success,902.9609999999999,109,4.27,11.64,8013.356652999999
2015,1,1,AccountService,GetAccounts,16,success,797.7170000000001,105,4.181,11.474,6567.858967
2015,1,1,AccountService,GetAccounts,17,success,794.3870000000001,104,3.901,11.435,6488.682075
2015,1,1,AccountService,GetAccounts,18,success,96.51000000000002,20,3,6.753,490.28852400000005
2015,1,1,AccountService,GetAccounts,19,success,109.76199999999999,22,3.129,6.77,581.9960199999999
2015,1,1,AccountService,GetAccounts,20,success,74.37400000000001,15,3.595,6.445,378.742778
2015,1,1,AccountService,GetAccounts,21,success,67.94,14,3.242,6.907,351.484012
